cur_brand2,pre_brand2,zone2,edu2,pro2,enroll_type2,enroll_age,age_period,open_rate,ctr,or_all,ctr_all
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-23,Stage 0,,,0.0,0.0
Abbott,Nestle Stage 1,Others,High School,Ontario,Self Enrolled,-149,Stage 0,,,0.03,0.03
President's Choice,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,-161,Stage 0,,,0.34,0.03
President's Choice,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,-1545,Stage 0,,,0.34,0.03
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-234,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-242,Stage 0,0.5,0.0,0.09,0.01
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-63,Stage 0,1.0,0.0,0.79,0.16
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-59,Stage 0,0.0,0.0,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-46,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-250,Stage 0,0.0,0.0,0.03,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-238,Stage 0,,,0.13,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,181,Stage 1,,,0.15,0.0
Abbott,Abbott Stage2,Others,Elementary School,Ontario,Self Enrolled,77,Stage 1,,,0.06,0.02
MJN,MJN Stage2,Others,High School,Ontario,Self Enrolled,10,Stage 1,,,0.23,0.08
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,113,Stage 1,,,0.12,0.0
Abbott,Abbott Stage1,Others,Others,Ontario,Self Enrolled,397,Stage 3,,,1.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,130,Stage 1,,,0.0,0.0
Abbott,Abbott Solutions,MJN,Elementary School,Ontario,Self Enrolled,-178,Stage 0,0.0,0.0,0.1,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,155,Stage 1,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-102,Stage 0,0.5,0.5,0.33,0.1
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-76,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-30,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-954,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-94,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-48,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,9,Stage 1,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,8,Stage 1,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-34,Stage 0,0.0,0.0,0.43,0.13
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,22,Stage 1,,,0.06,0.12
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-39,Stage 0,,,0.07,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-247,Stage 0,,,0.38,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,111,Stage 1,,,0.0,0.0
President's Choice,MJN Stage1,Others,High School,Ontario,Self Enrolled,166,Stage 1,,,0.22,0.0
Parent's Choice,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,260,Stage 2,,,0.12,0.06
Abbott,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,-58,Stage 0,,,0.28,0.16
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,23,Stage 1,,,0.02,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,CoReg,172,Stage 1,,,0.0,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-233,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Purchased,-21,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-167,Stage 0,,,0.5,0.0
Parent's Choice,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,198,Stage 2,,,0.02,0.02
Nestle,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,234,Stage 2,,,0.25,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-141,Stage 0,,,0.33,0.0
MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-1467,Stage 0,0.5,0.0,0.53,0.11
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,340,Stage 2,,,0.1,0.0
MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,316,Stage 2,0.0,0.0,0.24,0.0
Abbott,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,29,Stage 1,,,0.03,0.0
Abbott,Abbott Solutions,Others,High School,Ontario,Self Enrolled,-106,Stage 0,,,0.77,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-28,Stage 0,,,0.0,0.0
Abbott,MJN Stage2,MJN,High School,Ontario,Self Enrolled,236,Stage 2,,,0.71,0.14
MJN,Abbott Stage2,Others,High School,Ontario,Self Enrolled,-209,Stage 0,0.0,0.0,0.59,0.19
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-52,Stage 0,,,0.07,0.04
President's Choice,Parent's Choice Stage 2,MJN,Elementary School,Ontario,Self Enrolled,-235,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-1,Stage 0,,,0.0,0.0
Parent's Choice,Kirkland Stage 1,MJN,High School,Ontario,Self Enrolled,213,Stage 2,0.0,0.0,0.0,0.0
Abbott,Abbott Solutions,Others,Elementary School,Ontario,Self Enrolled,-222,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,131,Stage 1,0.0,0.0,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-39,Stage 0,,,0.03,0.0
Nestle,Nestle Solutions,MJN,High School,Ontario,Self Enrolled,216,Stage 2,,,0.19,0.0
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,872,Stage 3,,,0.2,0.1
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-215,Stage 0,,,0.03,0.0
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,90,Stage 1,1.0,0.0,0.31,0.08
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-127,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,4,Stage 1,0.0,0.0,0.08,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-19,Stage 0,0.0,0.0,0.0,0.02
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-247,Stage 0,,,0.4,0.04
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-104,Stage 0,,,0.07,0.0
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,-126,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-119,Stage 0,,,0.3,0.05
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-231,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Manitoba,Self Enrolled,-238,Stage 0,,,0.08,0.0
MJN,MJN Solutions,MJN,Elementary School,Manitoba,Self Enrolled,-15,Stage 0,,,0.09,0.0
Nestle,Nestle Stage 2,MJN,High School,Manitoba,Self Enrolled,301,Stage 2,0.0,0.0,0.06,0.03
MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-1306,Stage 0,,,0.13,0.02
MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-31,Stage 0,,,0.75,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Saskatchewan,Self Enrolled,-508,Stage 0,,,0.5,0.0
Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-191,Stage 0,,,0.18,0.06
Abbott,Abbott Stage2,Others,Elementary School,Saskatchewan,Self Enrolled,-245,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-27,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,3,Stage 1,,,0.11,0.03
MJN,MJN Solutions,MJN,Elementary School,Saskatchewan,Self Enrolled,9,Stage 1,,,0.15,0.05
Abbott,Abbott Stage1,MJN,Elementary School,Alberta,Self Enrolled,-157,Stage 0,0.0,0.0,0.04,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,194,Stage 2,0.0,0.0,0.22,0.06
Nestle,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,904,Stage 3,,,0.0,0.0
Abbott,MJN Stage1,Others,High School,Alberta,Self Enrolled,-135,Stage 0,0.0,0.0,0.41,0.07
MJN,MJN Solutions,MJN,High School,Alberta,Self Enrolled,22,Stage 1,1.0,1.0,0.42,0.07
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,-6,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,0,Stage 1,,,0.13,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,-244,Stage 0,0.0,0.0,0.04,0.0
MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,172,Stage 1,,,0.22,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,44,Stage 1,,,0.07,0.0
Abbott,MJN Stage2,Others,Elementary School,Alberta,CoReg,-155,Stage 0,,,0.67,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Alberta,Self Enrolled,6,Stage 1,0.0,0.0,0.08,0.01
Abbott,Abbott Solutions,MJN,Elementary School,British Columbia,Self Enrolled,179,Stage 1,,,0.06,0.0
Abbott,Abbott Solutions,MJN,Elementary School,British Columbia,Self Enrolled,-91,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,British Columbia,Self Enrolled,66,Stage 1,0.0,0.0,0.0,0.0
MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-50,Stage 0,0.0,0.0,0.02,0.0
MJN,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,112,Stage 1,,,0.08,0.03
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-34,Stage 0,0.25,0.25,0.76,0.11
MJN,Abbott Stage1,Others,High School,Ontario,Self Enrolled,20,Stage 1,0.4,0.2,0.61,0.06
Nestle,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,-231,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-238,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-148,Stage 0,,,0.14,0.1
Nestle,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,-217,Stage 0,,,0.14,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Nova Scotia,Self Enrolled,-14,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,-127,Stage 0,,,0.33,0.0
MJN,MJN Stage1,MJN,Others,Quebec,Self Enrolled,17,Stage 1,,,0.31,0.31
MJN,MJN Stage1,MJN,Others,Quebec,Self Enrolled,-1236,Stage 0,,,0.31,0.31
Nestle,Nestle Stage 1,MJN,Elementary School,Quebec,Self Enrolled,-189,Stage 0,0.0,0.0,0.03,0.01
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,28,Stage 1,,,0.08,0.08
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,319,Stage 2,0.0,0.0,0.0,0.08
Abbott,Abbott Stage1,Others,High School,Ontario,Self Enrolled,-22,Stage 0,,,0.09,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-161,Stage 0,,,0.78,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-66,Stage 0,,,0.33,0.02
Nestle,MJN Stage2,MJN,Elementary School,Ontario,Self Enrolled,52,Stage 1,,,0.33,0.0
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,218,Stage 2,,,0.09,0.04
MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-151,Stage 0,0.0,0.0,0.31,0.0
Abbott,Abbott Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-78,Stage 0,0.0,0.0,0.13,0.0
MJN,MJN Stage2,MJN,High School,Manitoba,Self Enrolled,64,Stage 1,0.0,0.0,0.04,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Manitoba,CoReg,-44,Stage 0,0.0,0.0,0.4,0.1
Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-246,Stage 0,,,0.37,0.02
Nestle,MJN Stage1,MJN,Elementary School,Alberta,CoReg,-174,Stage 0,,,0.13,0.03
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-202,Stage 0,1.0,0.0,0.3,0.16
Abbott,Abbott Stage1,MJN,High School,Newfoundland & Labrador,Self Enrolled,-81,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,180,Stage 1,0.0,0.0,0.48,0.12
Abbott,Abbott Solutions,MJN,Elementary School,Ontario,Self Enrolled,-235,Stage 0,,,0.0,0.0
Parent's Choice,Abbott Stage2,MJN,High School,Alberta,Self Enrolled,44,Stage 1,,,0.1,0.0
Abbott,Abbott Stage1,Others,High School,Ontario,Self Enrolled,-142,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-28,Stage 0,,,0.13,0.0
MJN,MJN Solutions,MJN,Elementary School,Alberta,Self Enrolled,-44,Stage 0,0.0,0.0,0.07,0.03
Abbott,Nestle Stage 2,MJN,High School,Alberta,CoReg,-193,Stage 0,,,0.09,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-12,Stage 0,,,0.02,0.0
MJN,MJN Stage2,MJN,Elementary School,Ontario,Self Enrolled,-1409,Stage 0,1.0,0.5,0.19,0.04
MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-95,Stage 0,,,0.12,0.1
Parent's Choice,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,-2138,Stage 0,,,0.2,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Nova Scotia,Self Enrolled,10,Stage 1,,,0.05,0.0
Nestle,Abbott Stage2,Others,High School,Ontario,Self Enrolled,-41,Stage 0,,,0.18,0.03
Nestle,Kirkland Stage 1,Others,Elementary School,Quebec,Self Enrolled,43,Stage 1,,,0.0,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,CoReg,-77,Stage 0,,,,
Nestle,Nestle Stage 2,MJN,Elementary School,British Columbia,CoReg,-8,Stage 0,,,0.08,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-122,Stage 0,,,0.11,0.04
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-890,Stage 0,,,0.0,0.0
MJN,MJN Stage1,Others,Elementary School,New Brunswick,Self Enrolled,-245,Stage 0,,,0.25,0.25
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-139,Stage 0,,,0.02,0.0
Nestle,Nestle Stage 1,Others,High School,Ontario,CoReg,-205,Stage 0,0.0,0.0,0.09,0.0
MJN,Kirkland Stage 1,MJN,High School,British Columbia,Self Enrolled,-61,Stage 0,,,0.0,0.0
Nestle,MJN Stage2,MJN,High School,Ontario,Self Enrolled,15,Stage 1,,,0.04,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-197,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,High School,Quebec,Self Enrolled,-222,Stage 0,,,0.17,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,39,Stage 1,,,0.0,0.0
Nestle,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,-171,Stage 0,,,0.33,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-237,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,1,Stage 1,1.0,0.0,0.23,0.04
MJN,MJN Stage1,Others,High School,Quebec,Self Enrolled,-888,Stage 0,0.0,0.0,0.64,0.12
Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,62,Stage 1,,,0.0,0.0
MJN,Abbott Stage2,Others,Elementary School,Quebec,Self Enrolled,-1625,Stage 0,,,0.23,0.18
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,-8,Stage 0,,,0.0,0.0
Abbott,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,-160,Stage 0,0.0,0.0,0.12,0.02
MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,91,Stage 1,,,1.0,0.0
MJN,Abbott Stage1,MJN,High School,Nova Scotia,Self Enrolled,32,Stage 1,,,0.5,0.0
MJN,MJN Stage2,MJN,Elementary School,Newfoundland & Labrador,Self Enrolled,-379,Stage 0,,,0.5,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-69,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-196,Stage 0,,,0.02,0.0
Abbott,Abbott Solutions,Others,High School,Ontario,Self Enrolled,-216,Stage 0,,,0.17,0.0
Abbott,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,102,Stage 1,,,0.67,0.0
MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,35,Stage 1,,,0.71,0.07
Nestle,Nestle Stage 1,Others,High School,Ontario,Self Enrolled,-184,Stage 0,,,0.02,0.0
Abbott,Abbott Stage1,MJN,High School,British Columbia,Self Enrolled,-697,Stage 0,,,0.6,0.2
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-24,Stage 0,,,0.0,0.0
Abbott,MJN Stage1,MJN,High School,Ontario,Self Enrolled,56,Stage 1,,,0.0,0.0
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-221,Stage 0,,,0.29,0.0
Abbott,MJN Solutions,MJN,Elementary School,British Columbia,Self Enrolled,-111,Stage 0,0.0,0.0,0.06,0.0
MJN,MJN Stage1,MJN,High School,Northwest Territories,Self Enrolled,-42,Stage 0,0.0,0.0,0.11,0.02
MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,-158,Stage 0,,,0.04,0.0
MJN,Kirkland Stage 1,MJN,Elementary School,Ontario,Self Enrolled,70,Stage 1,,,0.61,0.03
Nestle,MJN Stage1,MJN,Elementary School,Northwest Territories,Self Enrolled,-1369,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-214,Stage 0,,,0.0,0.0
Nestle,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-133,Stage 0,,,0.65,0.02
Abbott,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-244,Stage 0,,,0.0,0.0
Nestle,Nestle Stage 2,Others,High School,Ontario,Self Enrolled,84,Stage 1,,,0.0,0.0
MJN,MJN Solutions,MJN,Elementary School,Nova Scotia,Self Enrolled,-94,Stage 0,,,0.0,0.03
MJN,Abbott Specialty,MJN,Elementary School,British Columbia,Self Enrolled,26,Stage 1,0.0,0.0,0.14,0.0
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-240,Stage 0,,,0.67,0.33
MJN,MJN Solutions,Others,High School,Ontario,Self Enrolled,91,Stage 1,1.0,1.0,0.77,0.15
MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-196,Stage 0,,,0.0,0.0
Abbott,Abbott Solutions,MJN,High School,Manitoba,Self Enrolled,-57,Stage 0,0.0,0.0,0.0,0.0
President's Choice,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,69,Stage 1,,,0.06,0.0
Abbott,Abbott Solutions,Others,High School,Ontario,Self Enrolled,-48,Stage 0,,,0.0,0.0
Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Quebec,Self Enrolled,64,Stage 1,0.0,0.0,0.36,0.02
Abbott,Abbott Solutions,Others,High School,Quebec,Self Enrolled,86,Stage 1,0.0,0.0,0.03,0.0
Nestle,Nestle Stage 1,Others,High School,Ontario,CoReg,176,Stage 1,,,0.11,0.0
MJN,MJN Stage1,Others,High School,Quebec,Self Enrolled,206,Stage 2,,,0.11,0.06
MJN,MJN Stage1,MJN,High School,Manitoba,Self Enrolled,-50,Stage 0,,,0.31,0.03
Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-1397,Stage 0,,,0.29,0.0
Nestle,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,53,Stage 1,0.0,0.0,0.0,0.0
MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-227,Stage 0,,,0.0,0.0
MJN,Kirkland Stage 1,Others,High School,Ontario,CoReg,-67,Stage 0,,,0.25,0.25
Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-241,Stage 0,,,0.0,0.0
MJN,MJN Solutions,Others,High School,Ontario,Self Enrolled,-255,Stage 0,,,0.05,0.0
President's Choice,President's Choice Stage 2,MJN,Elementary School,Ontario,Self Enrolled,-156,Stage 0,,,0.0,0.0
MJN,MJN Stage1,MJN,Elementary School,Nova Scotia,Self Enrolled,-151,Stage 0,,,0.0,0.0
Abbott,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,-177,Stage 0,,,0.0,0.0
MJN,Nestle Stage 1,MJN,Elementary School,British Columbia,Self Enrolled,-201,Stage 0,,,0.06,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Manitoba,Self Enrolled,-247,Stage 0,,,0.0,0.0
Abbott,Kirkland Stage 1,MJN,High School,Ontario,Self Enrolled,-146,Stage 0,,,0.0,0.0
MJN,MJN Solutions,MJN,High School,Nova Scotia,Self Enrolled,11,Stage 1,,,0.0,0.0
Abbott,Abbott Stage1,MJN,High School,Alberta,Self Enrolled,-217,Stage 0,,,0.03,0.0
Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-229,Stage 0,,,0.0,0.0
Abbott,MJN Stage1,MJN,Elementary School,Newfoundland & Labrador,Self Enrolled,-111,Stage 0,,,0.0,0.0
President's Choice,President's Choice Stage 2,Others,High School,Ontario,Self Enrolled,8,Stage 1,,,0.07,0.01
MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-194,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,High School,Manitoba,Self Enrolled,-155,Stage 0,0.0,0.0,0.12,0.02
Abbott,Abbott Stage2,MJN,High School,Alberta,Self Enrolled,-31,Stage 0,,,0.0,0.0
Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-177,Stage 0,,,0.5,0.0
MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-160,Stage 0,,,0.18,0.09
Nestle,Nestle Stage 1,MJN,High School,British Columbia,Self Enrolled,-174,Stage 0,,,0.75,0.0
Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,423,Stage 3,,,0.0,0.0
