id,pre_brand,cur_brand,zone,edu,children,date,pro,cur_brand2,pre_brand2,zone2,edu2,pro2,enroll_type2,enroll_age,age_period,open_rate,ctr,or_all,ctr_all,or01,ctr01,redem_rate,redem_rate1
1E+12,33,32,3,3,3,5/31/2020,21,Abbott,Abbott Solutions,Others,High School,Quebec,Self Enrolled,75,Stage 1,,,0,0,,,0,
1E+12,21,22,2,1,3,2/28/2021,21,Nestle,Nestle Stage 1,Others,Elementary School,Quebec,Self Enrolled,-38,Stage 0,,,0.01,0.01,0.03,0.03,0,
1E+12,11,12,3,2,3,2/29/2020,19,MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-23,Stage 0,,,0,0,,,0,
1E+12,21,32,3,3,2,8/31/2020,19,Abbott,Nestle Stage 1,Others,High School,Ontario,Self Enrolled,-149,Stage 0,,,0.03,0.03,0,0,0,
1E+12,22,62, ,2,2,8/31/2020,19,President's Choice,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,-161,Stage 0,,,0.34,0.03,0.11,0,0,
1E+12,22,62, ,2,2,8/31/2020,19,President's Choice,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,-1545,Stage 0,,,0.34,0.03,0.11,0,0,
1E+12,21,22,1,2,2,5/31/2020,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-234,Stage 0,,,0,0,,,0,
1E+12,31,32,1,2,3,2/28/2021,19,Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-242,Stage 0,0.5,0,0.09,0.01,0.2,0.03,0.8,1
1E+12,31,32,3,2,3,11/30/2020,19,Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-63,Stage 0,1,0,0.79,0.16,0.87,0.2,0,0
1E+12,21,22,1,2,3,11/30/2020,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-59,Stage 0,0,0,0,0,0,0,0,
1E+12,21,22,1,2,3,2/28/2021,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-46,Stage 0,,,0,0,0,0,0.166666667,0.25
1E+12,11,12,1,2,1,5/31/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-250,Stage 0,0,0,0.03,0,0,0,,
1E+12,21,22,3,2,2,5/31/2020,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-238,Stage 0,,,0.13,0,,,0,
1E+12,13,12,1,3,3,8/31/2020,19,MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,181,Stage 1,,,0.15,0,0,0,1,
1E+12,32,32,3,2,3,5/31/2020,19,Abbott,Abbott Stage2,Others,Elementary School,Ontario,Self Enrolled,77,Stage 1,,,0.06,0.02,,,0.5,
1E+12,12,12,3,3,2,8/31/2020,19,MJN,MJN Stage2,Others,High School,Ontario,Self Enrolled,10,Stage 1,,,0.23,0.08,0,0,0,
1E+12,31,32,1,1,3,5/31/2020,19,Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,113,Stage 1,,,0.12,0,0,0,1,
1E+12,31,32,3, ,2,2/29/2020,19,Abbott,Abbott Stage1,Others,Others,Ontario,Self Enrolled,397,Stage 3,,,1,0,,,,
1E+12,21,22,1,2,1,5/31/2020,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,130,Stage 1,,,0,0,,,0,
1E+12,33,32,1,2,2,8/31/2020,19,Abbott,Abbott Solutions,MJN,Elementary School,Ontario,Self Enrolled,-178,Stage 0,0,0,0.1,0,0.08,0,1,
1E+12,11,12,1,3,2,5/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,155,Stage 1,,,0,0,,,,
1E+12,11,12,1,3,1,8/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-102,Stage 0,0.5,0.5,0.33,0.1,0.31,0.12,1,
1E+12,31,32,1,3,3,2/29/2020,19,Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-76,Stage 0,,,0,0,,,0,
1E+12,31,32,1,2,1,2/28/2021,19,Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-30,Stage 0,,,0,0,,,0,
1E+12,11,12,1,2,1,8/31/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-954,Stage 0,,,0,0,,,,
1E+12,13,12,1,1,1,2/29/2020,19,MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-94,Stage 0,,,0,0,,,1,
1E+12,13,12,1,3,2,5/31/2020,19,MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-48,Stage 0,,,0,0,,,1,
1E+12,11,12,1,2,2,11/30/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,9,Stage 1,,,0,0,,,0,
1E+12,11,12,1,2,2,11/30/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,8,Stage 1,,,0,0,,,0,
1E+12,13,12,1,3,2,11/30/2020,19,MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-34,Stage 0,0,0,0.43,0.13,0.43,0.14,0.5,
1E+12,11,12,1,3, ,11/30/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,22,Stage 1,,,0.06,0.12,0,0,0,0
1E+12,11,12,1,3,2,8/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-39,Stage 0,,,0.07,0,,,0,
1E+12,13,12,1,2,1,8/31/2020,19,MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-247,Stage 0,,,0.38,0,0.69,0,0.5,
1E+12,21,22,1,2,3,5/31/2020,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,111,Stage 1,,,0,0,,,,
1E+12,11,62,3,3,1,2/29/2020,19,President's Choice,MJN Stage1,Others,High School,Ontario,Self Enrolled,166,Stage 1,,,0.22,0,,,0,
1E+12,31,52,1,2,3,8/31/2020,19,Parent's Choice,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,260,Stage 2,,,0.12,0.06,0,0,0.5,
1E+12,21,32,1,3,2,5/31/2020,19,Abbott,Nestle Stage 1,MJN,High School,Ontario,Self Enrolled,-58,Stage 0,,,0.28,0.16,0.41,0.24,0,
1E+12,11,12,1,3,3,5/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,23,Stage 1,,,0.02,0,0,0,1,
1E+12,21,22,1,1,3,5/31/2020,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,CoReg,172,Stage 1,,,0,0,,,,
1E+12,13,12,1,2,1,5/31/2020,19,MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,-233,Stage 0,,,0,0,,,,
1E+12,21,22,3,1,2,2/29/2020,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Purchased,-21,Stage 0,,,0,0,,,,
1E+12,31,32,3,2,3,2/29/2020,19,Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-167,Stage 0,,,0.5,0,,,,
1E+12,21,52,3,2,3,11/30/2020,19,Parent's Choice,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,198,Stage 2,,,0.02,0.02,0,0,0.5,
1E+12,22,22,3,2,2,2/29/2020,19,Nestle,Nestle Stage 2,Others,Elementary School,Ontario,Self Enrolled,234,Stage 2,,,0.25,0,,,0,
1E+12,31,32,3,2,1,5/31/2020,19,Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-141,Stage 0,,,0.33,0,0,0,0,
1E+12,13,12,3,2,3,11/30/2020,19,MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-1467,Stage 0,0.5,0,0.53,0.11,0.55,0.14,0.2,0
1E+12,31,32,3,2,2,5/31/2020,19,Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,340,Stage 2,,,0.1,0,,,,
1E+12,13,12,3,2,3,11/30/2020,19,MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,316,Stage 2,0,0,0.24,0,0.44,0,1,1
1E+12,32,32,1,2,3,8/31/2020,19,Abbott,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,29,Stage 1,,,0.03,0,0,0,0,
1E+12,33,32,3,3,3,11/30/2020,19,Abbott,Abbott Solutions,Others,High School,Ontario,Self Enrolled,-106,Stage 0,,,0.77,0,1,0,0,0
1E+12,31,32,1,2,1,2/29/2020,19,Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-28,Stage 0,,,0,0,,,0,
1E+12,12,32,1,3,2,11/30/2020,19,Abbott,MJN Stage2,MJN,High School,Ontario,Self Enrolled,236,Stage 2,,,0.71,0.14,,,0,
1E+12,32,12,3,3,2,11/30/2020,19,MJN,Abbott Stage2,Others,High School,Ontario,Self Enrolled,-209,Stage 0,0,0,0.59,0.19,0.82,0.23,0,
1E+12,21,22,3,1,2,8/31/2020,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-52,Stage 0,,,0.07,0.04,,,0,
1E+12,52,62,1,2,3,5/31/2020,19,President's Choice,Parent's Choice Stage 2,MJN,Elementary School,Ontario,Self Enrolled,-235,Stage 0,,,0,0,,,,
1E+12,31,32,1,1,2,5/31/2020,19,Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-1,Stage 0,,,0,0,,,0,
1E+12,41,52,1,3,3,2/28/2021,19,Parent's Choice,Kirkland Stage 1,MJN,High School,Ontario,Self Enrolled,213,Stage 2,0,0,0,0,0,0,0,0
1E+12,33,32,3,2,2,5/31/2020,19,Abbott,Abbott Solutions,Others,Elementary School,Ontario,Self Enrolled,-222,Stage 0,,,0,0,,,,
1E+12,21,22,3,2,2,11/30/2020,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,131,Stage 1,0,0,0,0,0,0,0,0
1E+12,11,12,1,2,2,8/31/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-39,Stage 0,,,0.03,0,0,0,0,
1E+12,23,22,1,3,3,8/31/2020,19,Nestle,Nestle Solutions,MJN,High School,Ontario,Self Enrolled,216,Stage 2,,,0.19,0,,,1,
1E+12,51,52,3,2,3,2/29/2020,19,Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,872,Stage 3,,,0.2,0.1,1,0.5,1,
1E+12,31,32,1,3,2,8/31/2020,19,Abbott,Abbott Stage1,MJN,High School,Ontario,Self Enrolled,-215,Stage 0,,,0.03,0,0,0,0,
1E+12,13,12,1,1,1,11/30/2020,19,MJN,MJN Solutions,MJN,Elementary School,Ontario,Self Enrolled,90,Stage 1,1,0,0.31,0.08,0.57,0.11,0.8,0.75
1E+12,11,12,1,3, ,5/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-127,Stage 0,,,0,0,,,0,
1E+12,21,22,3,1,2,2/28/2021,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,4,Stage 1,0,0,0.08,0,0.16,0,0.333333333,0.5
1E+12,21,22,3,2,2,8/31/2020,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-19,Stage 0,0,0,0,0.02,0,0,0,0
1E+12,31,32,3,2,2,11/30/2020,19,Abbott,Abbott Stage1,Others,Elementary School,Ontario,Self Enrolled,-247,Stage 0,,,0.4,0.04,0.75,0.5,0.5,
1E+12,21,22,3,1,2,11/30/2020,19,Nestle,Nestle Stage 1,Others,Elementary School,Ontario,Self Enrolled,-104,Stage 0,,,0.07,0,0.07,0,0,
1E+12,51,52,3,2,2,5/31/2020,19,Parent's Choice,Parent's Choice Stage 1,Others,Elementary School,Ontario,Self Enrolled,-126,Stage 0,,,0,0,,,0,
1E+12,13,12,1,3,2,2/28/2021,19,MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-119,Stage 0,,,0.3,0.05,1,0.43,0.5,
1E+12,31,32,1,2,2,11/30/2020,19,Abbott,Abbott Stage1,MJN,Elementary School,Ontario,Self Enrolled,-231,Stage 0,,,0,0,0,0,0,0
1E+12,51,52,1,1,2,2/29/2020,13,Parent's Choice,Parent's Choice Stage 1,MJN,Elementary School,Manitoba,Self Enrolled,-238,Stage 0,,,0.08,0,0.5,0,0,
1E+12,13,12,1,2,3,8/31/2020,13,MJN,MJN Solutions,MJN,Elementary School,Manitoba,Self Enrolled,-15,Stage 0,,,0.09,0,0,0,1,
1E+12,22,22,1,3,2,11/30/2020,13,Nestle,Nestle Stage 2,MJN,High School,Manitoba,Self Enrolled,301,Stage 2,0,0,0.06,0.03,0.3,0.2,0.666666667,
1E+12,11,12,1,2,2,11/30/2020,13,MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-1306,Stage 0,,,0.13,0.02,0,0,0,
1E+12,11,12,1,2,3,2/29/2020,13,MJN,MJN Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-31,Stage 0,,,0.75,0,1,0,,
1E+12,31,32,1,2,3,5/31/2020,22,Abbott,Abbott Stage1,MJN,Elementary School,Saskatchewan,Self Enrolled,-508,Stage 0,,,0.5,0,,,,
1E+12,31,32,3,2,2,5/31/2020,22,Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-191,Stage 0,,,0.18,0.06,0.2,0,0,
1E+12,32,32,3,1,3,11/30/2020,22,Abbott,Abbott Stage2,Others,Elementary School,Saskatchewan,Self Enrolled,-245,Stage 0,,,0,0,0,0,,
1E+12,31,32,3,1,3,5/31/2020,22,Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-27,Stage 0,,,0,0,,,0,
1E+12,11,12,3,2,2,8/31/2020,22,MJN,MJN Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,3,Stage 1,,,0.11,0.03,0.25,0,0.5,
1E+12,13,12,1,2,2,5/31/2020,22,MJN,MJN Solutions,MJN,Elementary School,Saskatchewan,Self Enrolled,9,Stage 1,,,0.15,0.05,0.33,0.11,1,
1E+12,31,32,1,1,2,8/31/2020,11,Abbott,Abbott Stage1,MJN,Elementary School,Alberta,Self Enrolled,-157,Stage 0,0,0,0.04,0,0.08,0,0,
1E+12,21,22,1,2,3,2/28/2021,11,Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,194,Stage 2,0,0,0.22,0.06,0,0,0.166666667,0
1E+12,11,22,1,1,3,5/31/2020,11,Nestle,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,904,Stage 3,,,0,0,0,0,1,
1E+12,11,32,9,3,3,8/31/2020,11,Abbott,MJN Stage1,Others,High School,Alberta,Self Enrolled,-135,Stage 0,0,0,0.41,0.07,0.33,0.05,0,
1E+12,13,12,1,3,2,11/30/2020,11,MJN,MJN Solutions,MJN,High School,Alberta,Self Enrolled,22,Stage 1,1,1,0.42,0.07,0.64,0.07,0.8,1
1E+12,11,12,1,3,2,11/30/2020,11,MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,-6,Stage 0,,,0,0,,,0,
1E+12,11,12,1,2,3,5/31/2020,11,MJN,MJN Stage1,MJN,Elementary School,Alberta,Self Enrolled,0,Stage 1,,,0.13,0,,,,
1E+12,21,22,1,2,2,8/31/2020,11,Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,-244,Stage 0,0,0,0.04,0,0.16,0,0,
1E+12,11,12,1,3,2,5/31/2020,11,MJN,MJN Stage1,MJN,High School,Alberta,Self Enrolled,172,Stage 1,,,0.22,0,,,,
1E+12,21,22,1,2,2,8/31/2020,11,Nestle,Nestle Stage 1,MJN,Elementary School,Alberta,Self Enrolled,44,Stage 1,,,0.07,0,,,0,
1E+12,12,32, ,2, ,2/29/2020,11,Abbott,MJN Stage2,Others,Elementary School,Alberta,CoReg,-155,Stage 0,,,0.67,0,,,,
1E+12,31,32,1,2,2,2/28/2021,11,Abbott,Abbott Stage1,MJN,Elementary School,Alberta,Self Enrolled,6,Stage 1,0,0,0.08,0.01,0.12,0.04,0,0
1E+12,33,32,1,1,2,11/30/2020,12,Abbott,Abbott Solutions,MJN,Elementary School,British Columbia,Self Enrolled,179,Stage 1,,,0.06,0,0,0,0,0
1E+12,33,32,1,2,2,2/29/2020,12,Abbott,Abbott Solutions,MJN,Elementary School,British Columbia,Self Enrolled,-91,Stage 0,,,0,0,,,,
1E+12,21,22,1,1,2,11/30/2020,12,Nestle,Nestle Stage 1,MJN,Elementary School,British Columbia,Self Enrolled,66,Stage 1,0,0,0,0,0,0,0,0
1E+12,11,12,9,2,1,8/31/2020,19,MJN,MJN Stage1,Others,Elementary School,Ontario,Self Enrolled,-50,Stage 0,0,0,0.02,0,0.05,0,0,
1E+12,11,12,1,3,2,8/31/2020,12,MJN,MJN Stage1,MJN,High School,British Columbia,Self Enrolled,112,Stage 1,,,0.08,0.03,0.22,0,0.5,
1E+12,13,12,1,3,1,11/30/2020,19,MJN,MJN Solutions,MJN,High School,Ontario,Self Enrolled,-34,Stage 0,0.25,0.25,0.76,0.11,0.92,0.2,0,0
1E+12,31,12,3,3,2,11/30/2020,19,MJN,Abbott Stage1,Others,High School,Ontario,Self Enrolled,20,Stage 1,0.4,0.2,0.61,0.06,0.78,0.11,0.2,0.25
1.00001E+12,32,22,1,2,2,5/31/2020,19,Nestle,Abbott Stage2,MJN,Elementary School,Ontario,Self Enrolled,-231,Stage 0,,,0,0,,,0,
1.00001E+12,21,22,2,3,3,5/31/2020,21,Nestle,Nestle Stage 1,Others,High School,Quebec,Self Enrolled,-238,Stage 0,,,0,0,,,,
1.00001E+12,31,32,2,1,2,5/31/2020,21,Abbott,Abbott Stage1,Others,Elementary School,Quebec,Self Enrolled,-148,Stage 0,,,0.14,0.1,0.21,0.14,1,
1.00001E+12,21,22,1,3,2,8/31/2020,11,Nestle,Nestle Stage 1,MJN,High School,Alberta,Self Enrolled,-217,Stage 0,,,0.14,0,,,0,
1.00001E+12,21,22,1,2,1,8/31/2020,16,Nestle,Nestle Stage 1,MJN,Elementary School,Nova Scotia,Self Enrolled,-14,Stage 0,,,0,0,,,0,
1.00001E+12,11,12,1,3,2,5/31/2020,16,MJN,MJN Stage1,MJN,High School,Nova Scotia,Self Enrolled,-127,Stage 0,,,0.33,0,,,0,
1.00001E+12,11,12,1, ,3,11/30/2020,21,MJN,MJN Stage1,MJN,Others,Quebec,Self Enrolled,17,Stage 1,,,0.31,0.31,0.67,0.67,0,0
1.00001E+12,11,12,1, ,3,11/30/2020,21,MJN,MJN Stage1,MJN,Others,Quebec,Self Enrolled,-1236,Stage 0,,,0.31,0.31,0.67,0.67,0,0
1.00001E+12,21,22,1,1,3,11/30/2020,21,Nestle,Nestle Stage 1,MJN,Elementary School,Quebec,Self Enrolled,-189,Stage 0,0,0,0.03,0.01,0.06,0.03,0,0
1.00001E+12,11,12,1,3,1,5/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,28,Stage 1,,,0.08,0.08,,,,
1.00001E+12,11,12,1,3,2,8/31/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,319,Stage 2,0,0,0,0.08,0,0.5,0,
1.00001E+12,31,32,3,3,2,5/31/2020,19,Abbott,Abbott Stage1,Others,High School,Ontario,Self Enrolled,-22,Stage 0,,,0.09,0,,,1,
1.00001E+12,11,12,1,2,2,8/31/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-161,Stage 0,,,0.78,0,0.59,0,0.5,
1.00001E+12,21,22,1,2,2,8/31/2020,19,Nestle,Nestle Stage 1,MJN,Elementary School,Ontario,Self Enrolled,-66,Stage 0,,,0.33,0.02,0.5,0,0.5,
1.00001E+12,12,22,1,2,2,2/29/2020,19,Nestle,MJN Stage2,MJN,Elementary School,Ontario,Self Enrolled,52,Stage 1,,,0.33,0,,,,
1.00001E+12,11,12,3,3,2,11/30/2020,19,MJN,MJN Stage1,Others,High School,Ontario,Self Enrolled,218,Stage 2,,,0.09,0.04,0,0,0,
1.00001E+12,13,12,3,2,2,8/31/2020,19,MJN,MJN Solutions,Others,Elementary School,Ontario,Self Enrolled,-151,Stage 0,0,0,0.31,0,0.12,0,1,
1.00001E+12,31,32,1,1,2,11/30/2020,13,Abbott,Abbott Stage1,MJN,Elementary School,Manitoba,Self Enrolled,-78,Stage 0,0,0,0.13,0,0.22,0,0,
1.00001E+12,12,12,1,3,2,8/31/2020,13,MJN,MJN Stage2,MJN,High School,Manitoba,Self Enrolled,64,Stage 1,0,0,0.04,0,0.07,0,1,
1.00001E+12,21,22,1,1,2,5/31/2020,13,Nestle,Nestle Stage 1,MJN,Elementary School,Manitoba,CoReg,-44,Stage 0,0,0,0.4,0.1,,,0,
1.00001E+12,31,32,9,2,2,11/30/2020,22,Abbott,Abbott Stage1,Others,Elementary School,Saskatchewan,Self Enrolled,-246,Stage 0,,,0.37,0.02,0.74,0,0.5,
1.00001E+12,11,22,1,2,2,5/31/2020,11,Nestle,MJN Stage1,MJN,Elementary School,Alberta,CoReg,-174,Stage 0,,,0.13,0.03,0.71,0.14,0,
1.00001E+12,11,12,1,3,2,11/30/2020,19,MJN,MJN Stage1,MJN,High School,Ontario,Self Enrolled,-202,Stage 0,1,0,0.3,0.16,0.28,0.17,0.2,0
1.00001E+12,31,32,1,3,1,2/29/2020,15,Abbott,Abbott Stage1,MJN,High School,Newfoundland & Labrador,Self Enrolled,-81,Stage 0,,,0,0,,,0,
1.00001E+12,11,12,1,2,3,5/31/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,180,Stage 1,0,0,0.48,0.12,1,1,1,
1.00001E+12,33,32,1,1,1,2/29/2020,19,Abbott,Abbott Solutions,MJN,Elementary School,Ontario,Self Enrolled,-235,Stage 0,,,0,0,,,,
1.00001E+12,32,52,1,3,2,2/29/2020,11,Parent's Choice,Abbott Stage2,MJN,High School,Alberta,Self Enrolled,44,Stage 1,,,0.1,0,,,0,
1.00001E+12,31,32,3,3,2,5/31/2020,19,Abbott,Abbott Stage1,Others,High School,Ontario,Self Enrolled,-142,Stage 0,,,0,0,,,,
1.00001E+12,11,12,1,2,2,11/30/2020,19,MJN,MJN Stage1,MJN,Elementary School,Ontario,Self Enrolled,-28,Stage 0,,,0.13,0,,,0,
